week_start,region,channel,campaign_name,spend_usd,new_customers_attributed
2026-06-15,North,influencer,Creator Seeding Program,2304.64,40
2026-06-15,South,paid_social,Always-On Social Prospecting,6442.38,145
2026-06-15,South,search,Brand + Generic Search,4884.23,115
2026-06-15,South,influencer,Creator Seeding Program,2430.36,51
2026-06-15,West,paid_social,Always-On Social Prospecting,3694.51,101
2026-06-15,West,search,Brand + Generic Search,3001.76,66
2026-06-15,West,influencer,Creator Seeding Program,1621.53,39
2026-06-22,North,paid_social,Always-On Social Prospecting,4671.55,105
2026-06-22,North,search,Brand + Generic Search,3917.63,95
2026-06-22,North,influencer,Creator Seeding Program,2203.62,46
2026-06-22,South,paid_social,Always-On Social Prospecting,5841.93,131
2026-06-22,South,search,Brand + Generic Search,4790.6,93
2026-06-22,South,influencer,Creator Seeding Program,2618.81,65
2026-06-22,West,paid_social,Always-On Social Prospecting,3647.97,72
2026-06-22,West,search,Brand + Generic Search,3064.45,78
2026-06-22,West,influencer,Creator Seeding Program,1376.39,27
2026-06-29,North,paid_social,Always-On Social Prospecting,5456.69,123
2026-06-29,North,search,Brand + Generic Search,5011.79,115
2026-06-29,North,influencer,Creator Seeding Program,1970.73,50
2026-06-29,South,paid_social,Always-On Social Prospecting,5705.72,136
2026-06-29,South,search,Brand + Generic Search,4955.78,125
2026-06-29,South,influencer,Creator Seeding Program,2550.13,59
2026-06-29,West,paid_social,Always-On Social Prospecting,3718.09,85
2026-06-29,West,search,Brand + Generic Search,3423.19,72
2026-06-29,West,influencer,Creator Seeding Program,1470.69,38
2026-07-06,North,paid_social,Always-On Social Prospecting,5174.29,148
2026-07-06,North,search,Brand + Generic Search,4593.67,83
2026-07-06,North,influencer,Creator Seeding Program,1785.65,46
2026-07-06,South,paid_social,Always-On Social Prospecting,6167.97,119
2026-07-06,South,search,Brand + Generic Search,5773.52,124
2026-07-06,South,influencer,Creator Seeding Program,2494.82,60
2026-07-06,West,paid_social,Always-On Social Prospecting,3786.0,87
2026-07-06,West,search,Brand + Generic Search,3324.76,67
2026-07-06,West,influencer,Creator Seeding Program,1371.08,33
2026-07-13,North,paid_social,Always-On Social Prospecting,5344.05,115
2026-07-13,North,search,Brand + Generic Search,3558.51,72
2026-07-13,North,influencer,Creator Seeding Program,2070.07,53
2026-07-13,South,paid_social,Always-On Social Prospecting,14571.37,290
2026-07-13,South,search,Brand + Generic Search,4224.12,85
2026-07-13,South,influencer,Creator Seeding Program,2632.85,49
2026-07-13,West,paid_social,Always-On Social Prospecting,3791.75,88
2026-07-13,West,search,Brand + Generic Search,3419.0,84
2026-07-13,West,influencer,Creator Seeding Program,1288.92,24
2026-07-20,North,paid_social,Always-On Social Prospecting,5093.15,115
2026-07-20,North,search,Brand + Generic Search,4204.34,85
2026-07-20,North,influencer,Creator Seeding Program,2019.12,49
2026-07-20,South,paid_social,Always-On Social Prospecting,14453.5,264
2026-07-20,South,search,Brand + Generic Search,5228.7,154
2026-07-20,South,influencer,Creator Seeding Program,2530.91,56
2026-07-20,West,paid_social,Always-On Social Prospecting,3828.74,100
2026-07-20,West,search,Brand + Generic Search,3949.1,91
2026-07-20,West,influencer,Creator Seeding Program,1533.61,39
2026-07-27,North,paid_social,Always-On Social Prospecting,4987.28,106
2026-07-27,North,search,Brand + Generic Search,3540.9,82
2026-07-27,North,influencer,Creator Seeding Program,1984.82,49
2026-07-27,South,paid_social,Always-On Social Prospecting,6388.42,121
2026-07-27,South,search,Brand + Generic Search,5043.81,110
2026-07-27,South,influencer,Creator Seeding Program,2545.95,55
2026-07-27,West,paid_social,Always-On Social Prospecting,3852.64,87
2026-07-27,West,search,Brand + Generic Search,3264.18,76
2026-07-27,West,influencer,Creator Seeding Program,1496.71,34
